link,name,avgRating,numOfRating,category,price,plusCode,
https://www.google.com/maps/place/Santa+Luxury+Hotel/data=!4m10!3m9!1s0x314217b4e3029189:0x2184d10ffbf867ec!5m2!4m1!1i2!8m2!3d16.0517799!4d108.2467562!16s%2Fg%2F11jnstgy76!19sChIJiZEC47QXQjER7Gf4-w_RhCE?authuser=0&hl=vi&rclk=1,Santa Luxury Hotel,"4,6",(46),Khách sạn 4 sao,722 N,,
https://www.google.com/maps/place/Sea+Front+Hotel/data=!4m10!3m9!1s0x31421783eab074e9:0xf44488a533ae6953!5m2!4m1!1i2!8m2!3d16.0659801!4d108.2450077!16s%2Fg%2F1q62d1lpy!19sChIJ6XSw6oMXQjERU2muM6WIRPQ?authuser=0&hl=vi&rclk=1,Sea Front Hotel,"3,9",(237),Khách sạn 3 sao,884 N,,
https://www.google.com/maps/place/Thi+Boutique+Villa+(Nguy%C3%AAn+c%C4%83n+or+ph%C3%B2ng+l%E1%BA%BB)/data=!4m10!3m9!1s0x3142175f1d3f2f6f:0xb31fc3bd70b8448c!5m2!4m1!1i2!8m2!3d16.0693263!4d108.2421917!16s%2Fg%2F11h6s0g_j2!19sChIJby8_HV8XQjERjES4cL3DH7M?authuser=0&hl=vi&rclk=1,Thi Boutique Villa (Nguyên căn or phòng lẻ),"4,5",(46),Khách sạn,398 N,,
https://www.google.com/maps/place/GIC+LUXURY+HOTEL+AND+SPA/data=!4m10!3m9!1s0x31421828f96d9b7b:0xb47c13a96e71ee54!5m2!4m1!1i2!8m2!3d16.0708291!4d108.2170782!16s%2Fg%2F11h01c85fq!19sChIJe5tt-SgYQjERVO5xbqkTfLQ?authuser=0&hl=vi&rclk=1,GIC LUXURY HOTEL AND SPA,"4,3",(344),Khách sạn 4 sao,574 N,,
https://www.google.com/maps/place/Ponte+Boutique+Villa/data=!4m10!3m9!1s0x314217d710494441:0xdff4c0e96f96fcc6!5m2!4m1!1i2!8m2!3d16.0747355!4d108.2427474!16s%2Fg%2F11f9yqtgft!19sChIJQURJENcXQjERxvyWb-nA9N8?authuser=0&hl=vi&rclk=1,Ponte Boutique Villa,"4,8",(108),Khách sạn 2 sao,988 N,,
https://www.google.com/maps/place/L%C3%AA+Ho%C3%A0ng+Beach+Hotel/data=!4m10!3m9!1s0x31421783f5f67cf5:0x6fc977ba51f720ac!5m2!4m1!1i2!8m2!3d16.0656952!4d108.2449939!16s%2Fg%2F11dfgbhrv1!19sChIJ9Xz29YMXQjERrCD3Ubp3yW8?authuser=0&hl=vi&rclk=1,Lê Hoàng Beach Hotel,"4,1",(440),Khách sạn 4 sao,830 N,,
https://www.google.com/maps/place/Phuoc+My+An+Beach+Hotel/data=!4m10!3m9!1s0x314217e96f817bc5:0x5500d13e73c77e53!5m2!4m1!1i2!8m2!3d16.064132!4d108.2432622!16s%2Fg%2F11fl7_lx6v!19sChIJxXuBb-kXQjERU37Hcz7RAFU?authuser=0&hl=vi&rclk=1,Phuoc My An Beach Hotel,"4,4",(115),Khách sạn 4 sao,780 N,,
https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Novotel+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x3142183afab4a42d:0xd52dbe9e28e83835!5m2!4m1!1i2!8m2!3d16.077357!4d108.2236583!16s%2Fg%2F11xcxx_4h!19sChIJLaS0-joYQjERNTjoKJ6-LdU?authuser=0&hl=vi&rclk=1,Khách sạn Novotel Đà Nẵng,"4,5",(4.305),Khách sạn 5 sao,"2,27 Tr",,
https://www.google.com/maps/place/The+Code+Hotel+%26+Spa/data=!4m10!3m9!1s0x314217e57d816b9f:0x1101cfd96d8639bd!5m2!4m1!1i2!8m2!3d16.0951651!4d108.2519729!16s%2Fg%2F11gh46w61w!19sChIJn2uBfeUXQjERvTmGbdnPARE?authuser=0&hl=vi&rclk=1,The Code Hotel & Spa,"4,3",(220),Khách sạn 4 sao,787 N,,
https://www.google.com/maps/place/Cordial+Hotel/data=!4m10!3m9!1s0x3142172a52759cd5:0x5d84d28f7c5999e!5m2!4m1!1i2!8m2!3d16.0733967!4d108.2412041!16s%2Fg%2F11gxrnv64d!19sChIJ1Zx1UioXQjERnpnF9yhN2AU?authuser=0&hl=vi&rclk=1,Cordial Hotel,"4,2",(125),Khách sạn nghỉ dưỡng,662 N,,
