link,name,avgRating,numOfRating,category,plusCode
https://www.google.com/maps/place/R%C6%A0M+Food+%26+Drink/data=!4m7!3m6!1s0x3142173dc2f54331:0xd326fe9b7eb738f8!8m2!3d16.0546883!4d108.2414047!16s%2Fg%2F11fmsg35x_!19sChIJMUP1wj0XQjER-Di3fpv-JtM?authuser=0&hl=vi&rclk=1,RƠM Food & Drink,"3,8",(39),Quán bar,114 Nguyễn Văn Thoại
https://www.google.com/maps/place/Qu%C3%A1n+Bar+Coffee/data=!4m7!3m6!1s0x314218f933ded9df:0x95b4d680e79aa45b!8m2!3d16.0731342!4d108.1872723!16s%2Fg%2F1hc3jvdjq!19sChIJ39neM_kYQjERW6Sa54DWtJU?authuser=0&hl=vi&rclk=1,Quán Bar Coffee,"3,8",(26),Quán bar,"627, Nguyễn Tất Thành, Q. Thanh Khê, Tp. Đà Nẵng"
https://www.google.com/maps/place/The+Trip+66/data=!4m7!3m6!1s0x3142175cb2b2f863:0x28d99106e3f08016!8m2!3d16.0466713!4d108.2474473!16s%2Fg%2F11h555m1bp!19sChIJY_iyslwXQjERFoDw4waR2Sg?authuser=0&hl=vi&rclk=1,The Trip 66,"4,6",(111),Quán bar,66 Phan Tứ
https://www.google.com/maps/place/Bia+Budweiser/data=!4m7!3m6!1s0x314219338da37e9f:0x13dab113680ed4ec!8m2!3d16.0214956!4d108.2068368!16s%2Fg%2F11rbwsdgfw!19sChIJn36jjTMZQjER7NQOaBOx2hM?authuser=0&hl=vi&rclk=1,Bia Budweiser,"5,0",(1),Quán bar,70 Đỗ Đăng Tuyển
https://www.google.com/maps/place/Night+Club/data=!4m7!3m6!1s0x314219669e3bd6df:0x9edd0709272a6993!8m2!3d16.0621415!4d108.214597!16s%2Fg%2F11jdw84hp0!19sChIJ39Y7nmYZQjERk2kqJwkH3Z4?authuser=0&hl=vi&rclk=1,Night Club,"5,0",(7),Quán bar,Ông Ích Khiêm
https://www.google.com/maps/place/Pub+%26+Coffee+387/data=!4m7!3m6!1s0x3142177b000be7f7:0x39c30052a04d99d7!8m2!3d16.0536949!4d108.2459953!16s%2Fg%2F11f_0c62zh!19sChIJ9-cLAHsXQjER15lNoFIAwzk?authuser=0&hl=vi&rclk=1,Pub & Coffee 387,"4,4",(5),Quán bar,150 Trần Bạch Đằng
https://www.google.com/maps/place/The+Mad+Den/data=!4m7!3m6!1s0x314217f042920163:0x3e07005d4e72ce6c!8m2!3d16.0478528!4d108.2443682!16s%2Fg%2F11q26t0q0k!19sChIJYwGSQvAXQjERbM5yTl0ABz4?authuser=0&hl=vi&rclk=1,The Mad Den,"5,0",(12),Quán bar,4 An Thượng 8
https://www.google.com/maps/place/Hieu+Pub/data=!4m7!3m6!1s0x314219ca34b5b003:0xb35b85623d20c92b!8m2!3d16.0596457!4d108.2169562!16s%2Fg%2F1hc1kys6m!19sChIJA7C1NMoZQjERK8kgPWKFW7M?authuser=0&hl=vi&rclk=1,Hieu Pub,,,Quán bar,254 Hoàng Diệu
https://www.google.com/maps/place/Memory/data=!4m7!3m6!1s0x31421830317570af:0x5707aa2416979d3b!8m2!3d16.0727548!4d108.225102!16s%2Fg%2F1tjdj746!19sChIJr3B1MTAYQjERO52XFiSqB1c?authuser=0&hl=vi&rclk=1,Memory,"4,2",(818),Nhà hàng,7 Bạch Đằng
https://www.google.com/maps/place/H%E1%BB%A3p+Ph%E1%BB%91/data=!4m7!3m6!1s0x314219b9d52e66a9:0xaf5d233526c0cc7b!8m2!3d16.053039!4d108.2107406!16s%2Fg%2F1tgdfg6n!19sChIJqWYu1bkZQjERe8zAJjUjXa8?authuser=0&hl=vi&rclk=1,Hợp Phố,"4,1",(42),Quán bar,150 Lê Đình Lý
https://www.google.com/maps/place/R%C6%B0%E1%BB%A3u+g%E1%BA%A1o+%C3%94ng+Th%E1%BB%A9/data=!4m7!3m6!1s0x3142195012bf246f:0xbb8a50fbdd934247!8m2!3d16.083269!4d108.2294181!16s%2Fg%2F11kkt__n9h!19sChIJbyS_ElAZQjERR0KT3ftQirs?authuser=0&hl=vi&rclk=1,Rượu gạo Ông Thứ,"5,0",(2),Quán rượu,67 Đ. Nguyễn Trung Trực
https://www.google.com/maps/place/B%E1%BA%A3o+Long+Qu%E1%BA%A3ng+C%C3%A1o-N%E1%BB%99i+Th%E1%BA%A5t+Karaoke/data=!4m7!3m6!1s0x31421a10a3026d7f:0x4ab026e80b32ed89!8m2!3d16.0069662!4d108.2212073!16s%2Fg%2F11q84mnbbj!19sChIJf20CoxAaQjERie0yC-gmsEo?authuser=0&hl=vi&rclk=1,Bảo Long Quảng Cáo-Nội Thất Karaoke,,,Quán bar,41 Quách Thị Trang
https://www.google.com/maps/place/Bar+%C4%90%E1%BB%93+Y%C3%AAu/data=!4m7!3m6!1s0x31421901d2e25265:0xada0ea668734ab97!8m2!3d16.0414028!4d108.2174683!16s%2Fg%2F11s1spy0qg!19sChIJZVLi0gEZQjERl6s0h2bqoK0?authuser=0&hl=vi&rclk=1,Bar Đồ Yêu,"5,0",(18),Quán bar,102 Lê Thanh Nghị
https://www.google.com/maps/place/DanaBeach+Color/data=!4m7!3m6!1s0x3142172b3086dd3f:0x6afe8076062c9ac0!8m2!3d16.0474815!4d108.249492!16s%2Fg%2F11jbbs8p17!19sChIJP92GMCsXQjERwJosBnaA_mo?authuser=0&hl=vi&rclk=1,DanaBeach Color,"3,9",(66),Quán bar,51 Võ Nguyên Giáp
https://www.google.com/maps/place/Bar+%26+Pool/data=!4m7!3m6!1s0x3142173f5b66f335:0xeb27f4b4e4658605!8m2!3d16.0622492!4d108.2452392!16s%2Fg%2F11p567_fhq!19sChIJNfNmWz8XQjERBYZl5LT0J-s?authuser=0&hl=vi&rclk=1,Bar & Pool,"4,0",(1),Quán bar,36 Đ. Lâm Hoành
