link,name,avgRating,numOfRating,category,price,plusCode
https://www.google.com/maps/place/Brilliant+Hotel/data=!4m10!3m9!1s0x3142183263cd1149:0xb6fb460cff32a8ca!5m2!4m1!1i2!8m2!3d16.0667352!4d108.2246568!16s%2Fg%2F11c52ygqsk!19sChIJSRHNYzIYQjERyqgy_wxG-7Y?authuser=0&hl=vi&rclk=1,Brilliant Hotel,4.3,1557,Khách sạn 4 sao,"1,14 Tr",
https://www.google.com/maps/place/Cicilia+Hotel+%26+Spa/data=!4m10!3m9!1s0x3142177ae0bde10f:0x1b8b3008a40e9c3f!5m2!4m1!1i2!8m2!3d16.0520579!4d108.2465719!16s%2Fg%2F11bw4v0gwg!19sChIJD-G94HoXQjERP5wOpAgwixs?authuser=0&hl=vi&rclk=1,Cicilia Hotel & Spa,4.0,687,Khách sạn 4 sao,708 N,
https://www.google.com/maps/place/Happy+Hotel+Danang/data=!4m10!3m9!1s0x314217df406671c1:0xaa68213db4edc29b!5m2!4m1!1i2!8m2!3d16.0773684!4d108.2439575!16s%2Fg%2F11j4gx447n!19sChIJwXFmQN8XQjERm8LttD0haKo?authuser=0&hl=vi&rclk=1,Happy Hotel Danang,4.8,26,Khách sạn,300 N,
https://www.google.com/maps/place/Draco+Hotel+%26+Suites/data=!4m10!3m9!1s0x314217e183a7b449:0x69c4722bbdebc486!5m2!4m1!1i2!8m2!3d16.048619!4d108.2473165!16s%2Fg%2F11swg7d46q!19sChIJSbSng-EXQjERhsTrvStyxGk?authuser=0&hl=vi&rclk=1,Draco Hotel & Suites,4.5,13,Khách sạn,919 N,
https://www.google.com/maps/place/D%26C+Danang+Hotel/data=!4m10!3m9!1s0x3142182c18e343a3:0x24b27f0906d4118!5m2!4m1!1i2!8m2!3d16.0661944!4d108.2312!16s%2Fg%2F119tr5yfd!19sChIJo0PjGCwYQjERGEFtkPAnSwI?authuser=0&hl=vi&rclk=1,D&C Danang Hotel,4.1,243,Khách sạn 2 sao,290 N,
https://www.google.com/maps/place/Euro+Star+Riverside+Hotel/data=!4m10!3m9!1s0x314219e7fa3e6255:0x595572db3a04a9a4!5m2!4m1!1i2!8m2!3d16.0566141!4d108.2319148!16s%2Fg%2F11j84xvhpf!19sChIJVWI--ucZQjERpKkEOttyVVk?authuser=0&hl=vi&rclk=1,Euro Star Riverside Hotel,5.0,254,Khách sạn,421 N,
https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Capella+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x314217dc49f06b85:0x4470024ac74f3005!5m2!4m1!1i2!8m2!3d16.0527912!4d108.2460286!16s%2Fg%2F11hfyzkp19!19sChIJhWvwSdwXQjERBTBPx0oCcEQ?authuser=0&hl=vi&rclk=1,Khách sạn Capella Đà Nẵng,4.0,48,Khách sạn,453 N,
https://www.google.com/maps/place/BlueSun+Hotel/data=!4m10!3m9!1s0x31421783ecd4eb7f:0x28000e5dd697ce2b!5m2!4m1!1i2!8m2!3d16.0666162!4d108.2450612!16s%2Fg%2F11bzvf7s5_!19sChIJf-vU7IMXQjERK86X1l0OACg?authuser=0&hl=vi&rclk=1,BlueSun Hotel,4.2,241,Khách sạn 4 sao,815 N,
https://www.google.com/maps/place/Avenis+Hotel/data=!4m10!3m9!1s0x314219ab94152e7d:0xaf11ebeb0cb50c3d!5m2!4m1!1i2!8m2!3d16.0780689!4d108.172699!16s%2Fg%2F11qln42zst!19sChIJfS4VlKsZQjERPQy1DOvrEa8?authuser=0&hl=vi&rclk=1,Avenis Hotel,4.0,33,Khách sạn,"1,05 Tr",
https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Samdi/data=!4m10!3m9!1s0x314219b6ac346305:0x2cea5abbb04dedd0!5m2!4m1!1i2!8m2!3d16.0593128!4d108.2084274!16s%2Fg%2F11btvgbq5w!19sChIJBWM0rLYZQjER0O1NsLta6iw?authuser=0&hl=vi&rclk=1,Khách sạn Samdi,4.1,775,Khách sạn 4 sao,564 N,
